文件,中文字符串,替换值
Editor\Tools\ResEdit\EditGameObject.cs,组件辅助方法,Component helper methods
Editor\Tools\ResEdit\EditGameObject.cs,辅助查找方法,Helper search methods
Editor\Tools\ResEdit\EditGameObject.cs,应用标签修改,Apply tag modification
Editor\Tools\ResEdit\EditGameObject.cs,检查循环引用,Check circular references
Editor\Tools\ResEdit\EditGameObject.cs,处理创建操作,Handle create operation
Editor\Tools\ResEdit\EditGameObject.cs,目标查找参数,Target search parameters
Editor\Tools\ResEdit\EditGameObject.cs,查找组件类型,Find component type
Editor\Tools\ResEdit\EditGameObject.cs,组件操作方法,Component operation methods
Editor\Tools\ResEdit\EditGameObject.cs,应用层级修改,Apply hierarchy modification
Editor\Tools\ResEdit\EditGameObject.cs,的数据表示,Data representation
Editor\Tools\ResEdit\EditGameObject.cs,使用优化的,Use optimized
Editor\Tools\ResEdit\EditGameObject.cs,添加组件到,Add component to
Editor\Tools\ResEdit\EditGameObject.cs,对应方法名,Corresponding method name
Editor\Tools\ResEdit\EditGameObject.cs,单个或多个,Single or multiple
Editor\Tools\ResEdit\EditGameObject.cs,的内部实现,Internal implementation
Editor\Tools\ResEdit\EditGameObject.cs,应用修改到,Apply modification to
Editor\Tools\ResEdit\EditGameObject.cs,使用统一的,Use unified
Editor\Tools\ResEdit\EditGameObject.cs,获取组件,Get component
Editor\Tools\ResEdit\EditGameObject.cs,需要适配,Needs adaptation
Editor\Tools\ResEdit\EditGameObject.cs,或找不到,Or not found
Editor\Tools\ResEdit\EditGameObject.cs,资源管理,Resource management
Editor\Tools\ResEdit\EditGameObject.cs,查找父级,Find parent
Editor\Tools\ResEdit\EditGameObject.cs,操作参数,Operation parameter
Editor\Tools\ResEdit\EditGameObject.cs,先尝试从,First try from
Editor\Tools\ResEdit\EditGameObject.cs,如果需要,If needed
Editor\Tools\ResEdit\EditGameObject.cs,如果存在,If exists
Editor\Tools\ResEdit\EditGameObject.cs,批量修改,Batch modification
Editor\Tools\ResEdit\EditGameObject.cs,大幅减少,Greatly reduce
Editor\Tools\ResEdit\EditGameObject.cs,现在返回,Now return
Editor\Tools\ResEdit\EditGameObject.cs,时使用,Use when
Editor\Tools\ResEdit\EditGameObject.cs,只处理,Only handle
Editor\Tools\ResEdit\EditGameObject.cs,不指定,Not specified
Editor\Tools\ResEdit\EditGameObject.cs,从多个,From multiples
Editor\Tools\ResEdit\EditGameObject.cs,默认为,Default is
Editor\Tools\ResEdit\EditGameObject.cs,兼容性,Compatibility
Editor\Tools\ResEdit\EditGameObject.cs,查找父,Find parent
Editor\Tools\ResEdit\EditGameObject.cs,使用量,Usage
Editor\Tools\ResEdit\EditGameObject.cs,即可,Sufficient
Editor\Tools\ResEdit\EditGameObject.cs,使用,Use
Editor\Tools\ResEdit\EditGameObject.cs,如果,If
Editor\Tools\ResEdit\EditGameObject.cs,通过,Through
Editor\Tools\ResEdit\EditGameObject.cs,忽略,Ignore
Editor\Tools\ResEdit\EditGameObject.cs,检查,Check
Editor\Tools\ResEdit\EditGameObject.cs,获取,Get
Editor\Tools\ResEdit\EditGameObject.cs,根据,According to
Editor\Tools\ResEdit\EditGameObject.cs,数组,Array
Editor\Tools\ResEdit\EditGameObject.cs,格式,Format
Editor\Tools\ResEdit\EditGameObject.cs,参数,Parameter
Editor\Tools\ResEdit\EditGameObject.cs,上,On
Editor\Tools\ResEdit\EditGameObject.cs,为,As
Editor\Tools\UI\FigmaDataSimplifier.cs,创建当前方法支持的参数键列表,Create current method supported parameter key list
Editor\Tools\UI\FigmaDataSimplifier.cs,主要填充色,Main fill color
Editor\Tools\UI\FigmaDataSimplifier.cs,原始坐标系,Original coordinate system
Editor\Tools\UI\FigmaDataSimplifier.cs,是否转换为,Whether to convert to
Editor\Tools\UI\FigmaDataSimplifier.cs,简化的节点,Simplified node
Editor\Tools\UI\FigmaDataSimplifier.cs,左上角锚点,Top-left anchor point
Editor\Tools\UI\FigmaDataSimplifier.cs,无填充信息,No fill info
Editor\Tools\UI\FigmaDataSimplifier.cs,进一步压缩,Further compression
Editor\Tools\UI\FigmaDataSimplifier.cs,不进行解析,Do not parse
Editor\Tools\UI\FigmaDataSimplifier.cs,默认无限制,Default unlimited
Editor\Tools\UI\FigmaDataSimplifier.cs,渐变停止点,Gradient stop point
Editor\Tools\UI\FigmaDataSimplifier.cs,认为是复杂,Considered complex
Editor\Tools\UI\FigmaDataSimplifier.cs,生成完整的,Generate complete
Editor\Tools\UI\FigmaDataSimplifier.cs,无需复杂的,No complexity required
Editor\Tools\UI\FigmaDataSimplifier.cs,坐标系转换,Coordinate system conversion
Editor\Tools\UI\FigmaDataSimplifier.cs,字段已移除,Field has been removed
Editor\Tools\UI\FigmaDataSimplifier.cs,父节点路径,Parent node path
Editor\Tools\UI\FigmaDataSimplifier.cs,提取并简化,Extract and simplify
Editor\Tools\UI\FigmaDataSimplifier.cs,矢量图形,Vector graphics
Editor\Tools\UI\FigmaDataSimplifier.cs,控件尺寸,Control size
Editor\Tools\UI\FigmaDataSimplifier.cs,径向渐变,Radial gradient
Editor\Tools\UI\FigmaDataSimplifier.cs,节点类型,Node type
Editor\Tools\UI\FigmaDataSimplifier.cs,填充数据,Fill data
Editor\Tools\UI\FigmaDataSimplifier.cs,文本对齐,Text alignment
Editor\Tools\UI\FigmaDataSimplifier.cs,渐变类型,Gradient type
Editor\Tools\UI\FigmaDataSimplifier.cs,节点数据,Node data
Editor\Tools\UI\FigmaDataSimplifier.cs,文本摘要,Text summary
Editor\Tools\UI\FigmaDataSimplifier.cs,优先使用,Prefer use
Editor\Tools\UI\FigmaDataSimplifier.cs,图片信息,Image info
Editor\Tools\UI\FigmaDataSimplifier.cs,角度渐变,Angular gradient
Editor\Tools\UI\FigmaDataSimplifier.cs,混合模式,Blend mode
Editor\Tools\UI\FigmaDataSimplifier.cs,简化后的,Simplified
Editor\Tools\UI\FigmaDataSimplifier.cs,基础结构,Basic structure
Editor\Tools\UI\FigmaDataSimplifier.cs,文本相关,Text related
Editor\Tools\UI\FigmaDataSimplifier.cs,详细信息,Details
Editor\Tools\UI\FigmaDataSimplifier.cs,布局模式,Layout mode
Editor\Tools\UI\FigmaDataSimplifier.cs,布局相关,Layout related
Editor\Tools\UI\FigmaDataSimplifier.cs,节点名称,Node name
Editor\Tools\UI\FigmaDataSimplifier.cs,颜色信息,Color info
Editor\Tools\UI\FigmaDataSimplifier.cs,图片填充,Image fill
Editor\Tools\UI\FigmaDataSimplifier.cs,简化节点,Simplified node
Editor\Tools\UI\FigmaDataSimplifier.cs,复杂效果,Complex effect
Editor\Tools\UI\FigmaDataSimplifier.cs,批量生成,Batch generate
Editor\Tools\UI\FigmaDataSimplifier.cs,直接返回,Return directly
Editor\Tools\UI\FigmaDataSimplifier.cs,填充类型,Fill type
Editor\Tools\UI\FigmaDataSimplifier.cs,文本样式,Text style
Editor\Tools\UI\FigmaDataSimplifier.cs,样式相关,Style related
Editor\Tools\UI\FigmaDataSimplifier.cs,不透明度,Opacity
Editor\Tools\UI\FigmaDataSimplifier.cs,布局信息,Layout info
Editor\Tools\UI\FigmaDataSimplifier.cs,将复杂的,Make complex
Editor\Tools\UI\FigmaDataSimplifier.cs,字体粗细,Font weight
Editor\Tools\UI\FigmaDataSimplifier.cs,有背景色,With background color
Editor\Tools\UI\FigmaDataSimplifier.cs,用于调试,For debugging
Editor\Tools\UI\FigmaDataSimplifier.cs,包含完整,Include complete
Editor\Tools\UI\FigmaDataSimplifier.cs,提示文本,Hint text
Editor\Tools\UI\FigmaDataSimplifier.cs,最大深度,Maximum depth
Editor\Tools\UI\FigmaDataSimplifier.cs,提取组件,Extract component
Editor\Tools\UI\FigmaDataSimplifier.cs,节点字典,Node dictionary
Editor\Tools\UI\FigmaDataSimplifier.cs,组件列表,Component list
Editor\Tools\UI\FigmaDataSimplifier.cs,图片引用,Image reference
Editor\Tools\UI\FigmaDataSimplifier.cs,字体大小,Font size
Editor\Tools\UI\FigmaDataSimplifier.cs,调用代码,Call code
Editor\Tools\UI\FigmaDataSimplifier.cs,节省空间,Save space
Editor\Tools\UI\FigmaDataSimplifier.cs,基本信息,Basic info
Editor\Tools\UI\FigmaDataSimplifier.cs,文字颜色,Text color
Editor\Tools\UI\FigmaDataSimplifier.cs,线性渐变,Linear gradient
Editor\Tools\UI\FigmaDataSimplifier.cs,类型节点,Type node
Editor\Tools\UI\FigmaDataSimplifier.cs,颜色类型,Color type
Editor\Tools\UI\FigmaDataSimplifier.cs,就是组件,Is component
Editor\Tools\UI\FigmaDataSimplifier.cs,文本内容,Text content
Editor\Tools\UI\FigmaDataSimplifier.cs,特殊标记,Special mark
Editor\Tools\UI\FigmaDataSimplifier.cs,填充信息,Fill info
Editor\Tools\UI\FigmaDataSimplifier.cs,对齐方式,Alignment
Editor\Tools\UI\FigmaDataSimplifier.cs,椭圆节点,Ellipse node
Editor\Tools\UI\FigmaDataSimplifier.cs,渐变信息,Gradient info
Editor\Tools\UI\FigmaDataSimplifier.cs,布局参数,Layout parameter
Editor\Tools\UI\FigmaDataSimplifier.cs,背景色,Background color
Editor\Tools\UI\FigmaDataSimplifier.cs,复杂的,Complex
Editor\Tools\UI\FigmaDataSimplifier.cs,回退到,Fallback to
Editor\Tools\UI\FigmaDataSimplifier.cs,父路径,Parent path
Editor\Tools\UI\FigmaDataSimplifier.cs,子节点,Child node
Editor\Tools\UI\FigmaDataSimplifier.cs,字体族,Font family
Editor\Tools\UI\FigmaDataSimplifier.cs,坐标系,Coordinate system
Editor\Tools\UI\FigmaDataSimplifier.cs,模糊等,Blur, etc.
Editor\Tools\UI\FigmaDataSimplifier.cs,图片等,Image, etc.
Editor\Tools\UI\FigmaDataSimplifier.cs,序列化,Serialization
Editor\Tools\UI\FigmaDataSimplifier.cs,透明度,Transparency
Editor\Tools\UI\FigmaDataSimplifier.cs,根节点,Root node
Editor\Tools\UI\FigmaDataSimplifier.cs,友好且,User-friendly and
Editor\Tools\UI\FigmaDataSimplifier.cs,完整的,Complete
Editor\Tools\UI\FigmaDataSimplifier.cs,内边距,Padding
Editor\Tools\UI\FigmaDataSimplifier.cs,以减少,To reduce
Editor\Tools\UI\FigmaDataSimplifier.cs,字符串,String
Editor\Tools\UI\FigmaDataSimplifier.cs,列表,List
Editor\Tools\UI\FigmaDataSimplifier.cs,渐变,Gradient
Editor\Tools\UI\FigmaDataSimplifier.cs,颜色,Color
Editor\Tools\UI\FigmaDataSimplifier.cs,阴影,Shadow
Editor\Tools\UI\FigmaDataSimplifier.cs,混合,Blend
Editor\Tools\UI\FigmaDataSimplifier.cs,行高,Line height
Editor\Tools\UI\FigmaDataSimplifier.cs,间距,Spacing
Editor\Tools\UI\FigmaDataSimplifier.cs,宽度,Width
Editor\Tools\UI\FigmaDataSimplifier.cs,圆角,Corner radius
Editor\Tools\UI\FigmaDataSimplifier.cs,使用,Use
Editor\Tools\UI\FigmaDataSimplifier.cs,转换,Convert
Editor\Tools\UI\FigmaDataSimplifier.cs,信息,Info
Editor\Tools\UI\FigmaDataSimplifier.cs,代码,Code
Editor\Tools\UI\FigmaDataSimplifier.cs,如果,If
Editor\Tools\UI\FigmaDataSimplifier.cs,图片,Image
Editor\Tools\UI\FigmaDataSimplifier.cs,组件,Component
Editor\Tools\UI\FigmaDataSimplifier.cs,简化,Simplify
Editor\Tools\UI\FigmaDataSimplifier.cs,尺寸,Size
Editor\Tools\UI\FigmaDataSimplifier.cs,位置,Position
Editor\Tools\UI\FigmaDataSimplifier.cs,纯色,Solid color
Editor\Tools\UI\FigmaDataSimplifier.cs,用于,For
Editor\Tools\UI\FigmaDataSimplifier.cs,原始,Original
Editor\Tools\UI\FigmaDataSimplifier.cs,设为,Set as
Editor\Tools\UI\FigmaDataSimplifier.cs,调用,Call
Editor\Tools\UI\FigmaDataSimplifier.cs,超过,Exceed
Editor\Tools\UI\FigmaDataSimplifier.cs,高度,Height
Editor\Tools\UI\FigmaDataSimplifier.cs,字体,Font
Editor\Tools\UI\FigmaDataSimplifier.cs,布局,Layout
Editor\Tools\UI\FigmaDataSimplifier.cs,背景,Background
Editor\Tools\UI\FigmaDataSimplifier.cs,填充,Fill
Editor\Tools\UI\FigmaDataSimplifier.cs,生成,Generate
Editor\Tools\UI\FigmaDataSimplifier.cs,默认,Default
Editor\Tools\UI\FigmaDataSimplifier.cs,节点,Node
Editor\Tools\UI\FigmaDataSimplifier.cs,隐藏,Hide
Editor\Tools\UI\FigmaDataSimplifier.cs,文本,Text
Editor\Tools\UI\FigmaDataSimplifier.cs,值,Value
Editor\Tools\UI\FigmaDataSimplifier.cs,个,Item
Editor\Tools\UI\FigmaDataSimplifier.cs,等,Etc.
Editor\Tools\UI\FigmaDataSimplifier.cs,和,And
Editor\Tools\UI\FigmaDataSimplifier.cs,为,As
Editor\Tools\UI\UGUILayout.cs,锚点预设将基于元素当前位置而不是父容器的预设位置,Anchor presets will be based on the element's current position instead of the parent's preset position
Editor\Tools\UI\UGUILayout.cs,根据预设类型基于元素自身位置计算锚点,Calculate anchor based on the element's own position according to the preset type
Editor\Tools\UI\UGUILayout.cs,将锚点设置到元素自己的顶部中心位置,Set the anchor to the element's own top-center position
Editor\Tools\UI\UGUILayout.cs,获取元素当前在父容器中的世界位置,Get the element's current world position in the parent container
Editor\Tools\UI\UGUILayout.cs,应用锚点预设并保持视觉位置不变,Apply anchor preset and keep visual position unchanged
Editor\Tools\UI\UGUILayout.cs,否则根据传入的各种属性参数执行,Otherwise execute according to the incoming attribute parameters
Editor\Tools\UI\UGUILayout.cs,将锚点设置到元素自身对应的位置,Set the anchor to the corresponding position of the element itself
Editor\Tools\UI\UGUILayout.cs,基于元素四角相对坐标计算新的,Calculate new based on the element's four-corner relative coordinates
Editor\Tools\UI\UGUILayout.cs,需要通过选择器或其他方式获取,Need to obtain via selector or other methods
Editor\Tools\UI\UGUILayout.cs,创建当前方法支持的参数键列表,Create a list of parameter keys supported by the current method
Editor\Tools\UI\UGUILayout.cs,避免超出父级时被压回父级内部,Avoid being pushed back into the parent when exceeding the parent
Editor\Tools\UI\UGUILayout.cs,计算元素在父容器中的相对位置,Calculate the element's relative position in the parent container
Editor\Tools\UI\UGUILayout.cs,计算当前在父容器中的相对位置,Calculate the current relative position in the parent container
Editor\Tools\UI\UGUILayout.cs,基于元素当前位置重新计算锚点,Recalculate anchor based on the element's current position
Editor\Tools\UI\UGUILayout.cs,这个功能可能需要其他方式实现,This feature may need to be implemented by other means
Editor\Tools\UI\UGUILayout.cs,应用基于自身位置的锚点预设,Apply anchor preset based on its own position
Editor\Tools\UI\UGUILayout.cs,窗口分辨率设置功能已迁移到,Window resolution setting feature has been moved to
Editor\Tools\UI\UGUILayout.cs,检查是否应该进行批量操作,Check whether a batch operation should be performed
Editor\Tools\UI\UGUILayout.cs,保存当前的世界位置和尺寸,Save the current world position and size
Editor\Tools\UI\UGUILayout.cs,检查是否需要保持视觉位置,Check whether to keep the visual position
Editor\Tools\UI\UGUILayout.cs,保持视觉位置与尺寸不变,Keep the visual position and size unchanged
Editor\Tools\UI\UGUILayout.cs,如需设置锚点预设请使用,Use to set anchor presets if needed
Editor\Tools\UI\UGUILayout.cs,计算当前的实际锚点位置,Calculate actual anchor position currently
Editor\Tools\UI\UGUILayout.cs,从执行上下文中提取目标,Extract target from execution context
Editor\Tools\UI\UGUILayout.cs,只处理锚点预设相关参数,Only process anchor preset related parameters
Editor\Tools\UI\UGUILayout.cs,在单个目标上设置属性,Set properties on a single target
Editor\Tools\UI\UGUILayout.cs,设置新的锚点和轴心点,Set new anchor and pivot
Editor\Tools\UI\UGUILayout.cs,从字符串解析数字数组,Parse numeric array from string
Editor\Tools\UI\UGUILayout.cs,在多个目标上设置属性,Set properties on multiple targets
Editor\Tools\UI\UGUILayout.cs,处理获取布局信息操作,Handle get layout info operation
Editor\Tools\UI\UGUILayout.cs,来保持相同的视觉位置,To keep the same visual position
Editor\Tools\UI\UGUILayout.cs,支持方括号和圆括号,Supports square and round brackets
Editor\Tools\UI\UGUILayout.cs,从单个目标获取属性,Get properties from a single target
Editor\Tools\UI\UGUILayout.cs,从多个目标获取属性,Get properties from multiple targets
Editor\Tools\UI\UGUILayout.cs,可同时设置多个属性,Can set multiple properties at once
Editor\Tools\UI\UGUILayout.cs,获取多个目标的所有,Get all of multiple targets
Editor\Tools\UI\UGUILayout.cs,返回所有匹配的对象,Return all matching objects
Editor\Tools\UI\UGUILayout.cs,计算新锚点下需要的,Calculate the required under the new anchor
Editor\Tools\UI\UGUILayout.cs,应用锚点预设到单个,Apply anchor preset to single
Editor\Tools\UI\UGUILayout.cs,创建操作执行状态树,Create operation execution status tree
Editor\Tools\UI\UGUILayout.cs,获取单个目标的所有,Get all of a single target
Editor\Tools\UI\UGUILayout.cs,创建目标定位状态树,Create target positioning status tree
Editor\Tools\UI\UGUILayout.cs,应用锚点预设到多个,Apply anchor preset to multiple
Editor\Tools\UI\UGUILayout.cs,处理锚点预设操作,Handle anchor preset operation
Editor\Tools\UI\UGUILayout.cs,获取所有属性信息,Get all attribute information
Editor\Tools\UI\UGUILayout.cs,应用锚点位置修改,Apply anchor position modification
Editor\Tools\UI\UGUILayout.cs,应用最小锚点修改,Apply minimum anchor modification
Editor\Tools\UI\UGUILayout.cs,专门处理锚点预设,Specially handle anchor presets
Editor\Tools\UI\UGUILayout.cs,应用最大锚点修改,Apply maximum anchor modification
Editor\Tools\UI\UGUILayout.cs,参数获取目标对象,Parameter to get target object
Editor\Tools\UI\UGUILayout.cs,执行综合布局修改,Perform integrated layout modification
Editor\Tools\UI\UGUILayout.cs,检查是否需要修改,Check if modification is needed
Editor\Tools\UI\UGUILayout.cs,只返回第一个对象,Only return the first object
Editor\Tools\UI\UGUILayout.cs,钉在元素顶部中心,Pin to the top center of the element
Editor\Tools\UI\UGUILayout.cs,内部钳制导致误差,Internal clamping causes errors
Editor\Tools\UI\UGUILayout.cs,应用尺寸增量修改,Apply size delta modification
Editor\Tools\UI\UGUILayout.cs,支持数字和字符串,Support numbers and strings
Editor\Tools\UI\UGUILayout.cs,保持视觉位置不变,Keep visual position unchanged
Editor\Tools\UI\UGUILayout.cs,对象是否表示成功,Whether the object indicates success
Editor\Tools\UI\UGUILayout.cs,默认保持视觉位置,Keep visual position by default
Editor\Tools\UI\UGUILayout.cs,锚点预设专用方法,Method dedicated to anchor presets
Editor\Tools\UI\UGUILayout.cs,避免不必要的更新,Avoid unnecessary updates
Editor\Tools\UI\UGUILayout.cs,创建批量操作响应,Create batch operation response
Editor\Tools\UI\UGUILayout.cs,不能直接转换为,Cannot convert directly to
Editor\Tools\UI\UGUILayout.cs,避免序列化问题,Avoid serialization issues
Editor\Tools\UI\UGUILayout.cs,处理字符串类型,Handle string type
Editor\Tools\UI\UGUILayout.cs,格式的紧凑表示,Compact representation of the format
Editor\Tools\UI\UGUILayout.cs,处理字符串格式,Handle string format
Editor\Tools\UI\UGUILayout.cs,不保持视觉位置,Do not keep visual position
Editor\Tools\UI\UGUILayout.cs,转换为枚举类型,Convert to enum type
Editor\Tools\UI\UGUILayout.cs,已经是目标状态,Already in target state
Editor\Tools\UI\UGUILayout.cs,实际应用的锚点,Anchor actually applied
Editor\Tools\UI\UGUILayout.cs,不包含锚点预设,Does not contain anchor preset
Editor\Tools\UI\UGUILayout.cs,应用轴心点修改,Apply pivot modification
Editor\Tools\UI\UGUILayout.cs,期望的数字数量,Expected number of digits
Editor\Tools\UI\UGUILayout.cs,单个对象的情况,Single object case
Editor\Tools\UI\UGUILayout.cs,不使用锚点预设,Do not use anchor preset
Editor\Tools\UI\UGUILayout.cs,已经是目标锚点,Already at target anchor
Editor\Tools\UI\UGUILayout.cs,应用层级控制,Apply hierarchy control
Editor\Tools\UI\UGUILayout.cs,移除外层括号,Remove outer parentheses
Editor\Tools\UI\UGUILayout.cs,设置锚点预设,Set anchor preset
Editor\Tools\UI\UGUILayout.cs,对于其他类型,For other types
Editor\Tools\UI\UGUILayout.cs,个元素的数组,Array of elements
Editor\Tools\UI\UGUILayout.cs,否则获取所有,Otherwise get all
Editor\Tools\UI\UGUILayout.cs,批量操作方法,Batch operation method
Editor\Tools\UI\UGUILayout.cs,需要逐个解析,Need to parse one by one
Editor\Tools\UI\UGUILayout.cs,核心修改方法,Core modification method
Editor\Tools\UI\UGUILayout.cs,应用新的锚点,Apply new anchor
Editor\Tools\UI\UGUILayout.cs,尝试直接作为,Try directly as
Editor\Tools\UI\UGUILayout.cs,默认操作处理,Default operation handling
Editor\Tools\UI\UGUILayout.cs,支持多种格式,Support multiple formats
Editor\Tools\UI\UGUILayout.cs,不能直接转为,Cannot directly convert to
Editor\Tools\UI\UGUILayout.cs,需要包含至少,Must contain at least
Editor\Tools\UI\UGUILayout.cs,处理布局操作,Handle layout operation
Editor\Tools\UI\UGUILayout.cs,直接设置锚点,Set anchor directly
Editor\Tools\UI\UGUILayout.cs,去除首尾空格,Trim leading and trailing spaces
Editor\Tools\UI\UGUILayout.cs,获取父容器的,Get parent container's
Editor\Tools\UI\UGUILayout.cs,检查是否使用,Check whether to use
Editor\Tools\UI\UGUILayout.cs,解析每个数字,Parse each number
Editor\Tools\UI\UGUILayout.cs,属性应用方法,Attribute apply method
Editor\Tools\UI\UGUILayout.cs,格式数据表示,Format data representation
Editor\Tools\UI\UGUILayout.cs,目标查找参数,Target search parameter
Editor\Tools\UI\UGUILayout.cs,处理数字类型,Handle numeric type
Editor\Tools\UI\UGUILayout.cs,属性操作方法,Attribute operation method
Editor\Tools\UI\UGUILayout.cs,预设锚点类型,Preset anchor type
Editor\Tools\UI\UGUILayout.cs,的对象或至少,Object or at least
Editor\Tools\UI\UGUILayout.cs,应用锚点预设,Apply anchor preset
Editor\Tools\UI\UGUILayout.cs,值到指定类型,Value to specified type
Editor\Tools\UI\UGUILayout.cs,如果没有父,If there is no parent
Editor\Tools\UI\UGUILayout.cs,的数据表示,Data representation of
Editor\Tools\UI\UGUILayout.cs,按逗号分割,Split by comma
Editor\Tools\UI\UGUILayout.cs,获取属性值,Get attribute value
Editor\Tools\UI\UGUILayout.cs,的计算方式,Computation method of
Editor\Tools\UI\UGUILayout.cs,对应方法名,Corresponding method name
Editor\Tools\UI\UGUILayout.cs,操作不支持,Operation not supported
Editor\Tools\UI\UGUILayout.cs,单个或多个,Single or multiple
Editor\Tools\UI\UGUILayout.cs,输入字符串,Input string
Editor\Tools\UI\UGUILayout.cs,设置属性值,Set attribute value
Editor\Tools\UI\UGUILayout.cs,转换为类型,Convert to type
Editor\Tools\UI\UGUILayout.cs,修改到多个,Modify to multiple
Editor\Tools\UI\UGUILayout.cs,修改到单个,Modify to single
Editor\Tools\UI\UGUILayout.cs,特殊参数,Special parameter
Editor\Tools\UI\UGUILayout.cs,层级控制,Hierarchy control
Editor\Tools\UI\UGUILayout.cs,不支持将,Does not support converting
Editor\Tools\UI\UGUILayout.cs,失败返回,Return on failure
Editor\Tools\UI\UGUILayout.cs,向量类型,Vector type
Editor\Tools\UI\UGUILayout.cs,抛出异常,Throw exception
Editor\Tools\UI\UGUILayout.cs,需要包含,Need to contain
Editor\Tools\UI\UGUILayout.cs,枚举类型,Enum type
Editor\Tools\UI\UGUILayout.cs,支持格式,Supported format
Editor\Tools\UI\UGUILayout.cs,操作参数,Operation parameter
Editor\Tools\UI\UGUILayout.cs,无法将值,Cannot convert value
Editor\Tools\UI\UGUILayout.cs,解析后的,Parsed
Editor\Tools\UI\UGUILayout.cs,基本属性,Basic property
Editor\Tools\UI\UGUILayout.cs,综合布局,Integrated layout
Editor\Tools\UI\UGUILayout.cs,如果使用,If use
Editor\Tools\UI\UGUILayout.cs,先尝试从,Try from first
Editor\Tools\UI\UGUILayout.cs,辅助方法,Helper method
Editor\Tools\UI\UGUILayout.cs,其他预设,Other presets
Editor\Tools\UI\UGUILayout.cs,专门处理,Specifically handle
Editor\Tools\UI\UGUILayout.cs,基础类型,Base type
Editor\Tools\UI\UGUILayout.cs,检查数量,Check quantity
Editor\Tools\UI\UGUILayout.cs,格式节省,Format saving
Editor\Tools\UI\UGUILayout.cs,属性信息,Attribute information
Editor\Tools\UI\UGUILayout.cs,使用方式,Usage
Editor\Tools\UI\UGUILayout.cs,向后兼容,Backward compatible
Editor\Tools\UI\UGUILayout.cs,如果存在,If exists
Editor\Tools\UI\UGUILayout.cs,无需修改,No modification required
Editor\Tools\UI\UGUILayout.cs,时默认为,Default when
Editor\Tools\UI\UGUILayout.cs,特有属性,Specific property
Editor\Tools\UI\UGUILayout.cs,应用新的,Apply new
Editor\Tools\UI\UGUILayout.cs,范围钳制,Range clamping
Editor\Tools\UI\UGUILayout.cs,获取属性,Get attribute
Editor\Tools\UI\UGUILayout.cs,不进行,Not perform
Editor\Tools\UI\UGUILayout.cs,不指定,Not specified
Editor\Tools\UI\UGUILayout.cs,的影响,Effect of
Editor\Tools\UI\UGUILayout.cs,转换为,Convert to
Editor\Tools\UI\UGUILayout.cs,等同于,Equivalent to
Editor\Tools\UI\UGUILayout.cs,当前值,Current value
Editor\Tools\UI\UGUILayout.cs,默认为,Default is
Editor\Tools\UI\UGUILayout.cs,时调用,Call when
Editor\Tools\UI\UGUILayout.cs,尝试从,Try from
Editor\Tools\UI\UGUILayout.cs,中没有,Not in
Editor\Tools\UI\UGUILayout.cs,无法将,Unable to convert
Editor\Tools\UI\UGUILayout.cs,字符串,String
Editor\Tools\UI\UGUILayout.cs,模式,Pattern
Editor\Tools\UI\UGUILayout.cs,当为,When is
Editor\Tools\UI\UGUILayout.cs,功能,Function
Editor\Tools\UI\UGUILayout.cs,使用,Use
Editor\Tools\UI\UGUILayout.cs,转换,Convert
Editor\Tools\UI\UGUILayout.cs,注意,Note
Editor\Tools\UI\UGUILayout.cs,管理,Manage
Editor\Tools\UI\UGUILayout.cs,节省,Save
Editor\Tools\UI\UGUILayout.cs,实现,Implement
Editor\Tools\UI\UGUILayout.cs,操作,Operation
Editor\Tools\UI\UGUILayout.cs,如果,If
Editor\Tools\UI\UGUILayout.cs,读取,Read
Editor\Tools\UI\UGUILayout.cs,创建,Create
Editor\Tools\UI\UGUILayout.cs,效果,Effect
Editor\Tools\UI\UGUILayout.cs,工具,Tool
Editor\Tools\UI\UGUILayout.cs,检查,Check
Editor\Tools\UI\UGUILayout.cs,属性,Attribute
Editor\Tools\UI\UGUILayout.cs,执行,Execute
Editor\Tools\UI\UGUILayout.cs,参考,Reference
Editor\Tools\UI\UGUILayout.cs,获取,Get
Editor\Tools\UI\UGUILayout.cs,根据,According to
Editor\Tools\UI\UGUILayout.cs,数组,Array
Editor\Tools\UI\UGUILayout.cs,解析,Parse
Editor\Tools\UI\UGUILayout.cs,处理,Process
Editor\Tools\UI\UGUILayout.cs,避免,Avoid
Editor\Tools\UI\UGUILayout.cs,参数,Parameter
Editor\Tools\UI\UGUILayout.cs,范围,Range
Editor\Tools\UI\UGUILayout.cs,例如,For example
Editor\Tools\UI\UGUILayout.cs,包含,Contain
Editor\Tools\UI\UGUILayout.cs,类型,Type
Editor\Tools\UI\UGUILayout.cs,修改,Modify
Editor\Tools\UI\UGUILayout.cs,应用,Apply
Editor\Tools\UI\UGUILayout.cs,的,Of
Editor\Tools\UI\UGUILayout.cs,值,Value
Editor\Tools\UI\UGUILayout.cs,时,When
Editor\Tools\UI\UGUILayout.cs,从,From
Editor\Tools\UI\UIRuleManage.cs,也可以返回全局的构建步骤和环境配置,Can also return global build steps and environment settings
Editor\Tools\UI\UIRuleManage.cs,获取优化规则文件的完整本地路径,Get the complete local path of the optimization rule file
Editor\Tools\UI\UIRuleManage.cs,创建当前方法支持的参数键列表,Create the list of parameter keys supported by the current method
Editor\Tools\UI\UIRuleManage.cs,优先选择在指定路径下的文件,Prefer files in the specified path
